psu_voltage,shunt_voltage,load_voltage,current,label,(MA)psu_voltage,(MA)shunt_voltage,(MA)load_voltage,(MA)current
10.33664,0.048639999999999996,10.288,523.9,0,10.33664,0.048639999999999996,10.288,523.9
10.32392,0.04792,10.276,853.6,0,10.33028,0.04828,10.282,688.75
10.13959,0.06359000000000001,10.076,475.9,0,10.266716666666667,0.05338333333333334,10.213333333333333,617.8000000000002
10.30904,0.05304,10.255999999999998,415.4,0,10.277297500000001,0.053297500000000005,10.224,567.2
10.1428,0.05880000000000001,10.084,480.1,0,10.250397999999999,0.054398,10.196000000000002,549.78
10.291200000000002,0.0592,10.232,619.3000000000002,0,10.257198333333333,0.05519833333333333,10.202,561.3666666666667
10.13114,0.055139999999999995,10.076,517.2,0,10.23919,0.055189999999999996,10.184,555.0571428571428
10.22108,0.041080000000000005,10.18,597.9,0,10.23692625,0.05342625,10.183500000000002,560.4125
10.29558,0.04358,10.252,584.5,0,10.243443333333332,0.052332222222222224,10.191111111111113,563.088888888889
10.50126,0.05326,10.448,560.1,0,10.269225,0.052425,10.2168,562.7900000000002
10.27431,0.06631000000000001,10.208,303.0,0,10.269687272727273,0.053687272727272715,10.216,539.1727272727272
10.11528,0.043280000000000006,10.072,560.6,0,10.25682,0.052820000000000006,10.204,540.9583333333334
10.19408,0.058080000000000014,10.136,580.0,0,10.251993846153848,0.05322461538461538,10.198769230769232,543.9615384615386
10.3162,0.0442,10.272,643.3000000000002,0,10.25658,0.052579999999999995,10.204,551.0571428571428
10.551570000000002,0.05957000000000001,10.492,535.3000000000002,0,10.276246000000002,0.053046,10.2232,550.0066666666668
10.3255,0.045500000000000006,10.28,741.6,0,10.279324375000002,0.052574375,10.22675,561.98125
10.27906,0.06306,10.216,500.4,0,10.279308823529414,0.053191176470588235,10.226117647058825,558.3588235294119
10.32093,0.04893,10.272,812.8000000000002,0,10.281621111111113,0.052954444444444436,10.228666666666664,572.4944444444443
10.19715,0.06115,10.136,473.7000000000001,0,10.277175263157897,0.053385789473684206,10.22378947368421,567.2947368421053
10.31655,0.052550000000000006,10.264000000000001,615.5,0,10.279144000000002,0.053344,10.2258,569.705
10.23306,0.04506,10.187999999999999,475.0,0,10.276949523809526,0.05294952380952381,10.223999999999998,565.1952380952381
9.86972,0.021720000000000003,9.847999999999999,642.5,0,10.258439090909091,0.051530000000000006,10.206909090909091,568.7090909090911
10.26789,0.043890000000000005,10.224,519.3000000000002,0,10.25885,0.051197826086956534,10.207652173913042,566.5608695652173
10.09484,0.034839999999999996,10.06,598.2,0,10.252016250000002,0.050516250000000006,10.2015,567.8791666666667
10.29908,0.04308,10.255999999999998,569.7,0,10.253898800000002,0.05021880000000001,10.20368,567.952
10.51082,0.054820000000000015,10.456,438.8,0,10.263780384615387,0.05039576923076924,10.213384615384618,562.9846153846154
10.33755,0.06555000000000001,10.272,316.0,0,10.266512592592596,0.05095703703703704,10.215555555555557,553.837037037037
10.14895,0.05295,10.096,436.4,0,10.262313928571432,0.051028214285714295,10.211285714285713,549.6428571428571
10.23153,0.07553,10.156,475.8,0,10.261252413793107,0.05187310344827587,10.20937931034483,547.0965517241381
10.15167,0.04367,10.107999999999999,622.3000000000002,0,10.257599666666673,0.05159966666666668,10.206,549.6033333333332
10.49171,0.06371,10.427999999999999,547.3000000000002,0,10.265151612903233,0.05199032258064517,10.21316129032258,549.5290322580645
10.32559,0.045590000000000006,10.28,726.6,0,10.267040312500004,0.05179031250000001,10.21525,555.0624999999999
10.34206,0.06206,10.28,508.8,0,10.269313636363641,0.05210151515151516,10.21721212121212,553.6606060606058
10.36454,0.08454,10.28,563.7,0,10.272114411764711,0.05305558823529413,10.219058823529409,553.9558823529411
10.19561,0.047610000000000006,10.148,445.8,0,10.269928571428574,0.05290000000000001,10.217028571428571,550.8657142857141
10.048760000000001,0.05276,9.996,627.8000000000002,0,10.263785000000004,0.052896111111111116,10.210888888888887,553.0027777777776
10.229400000000002,0.0454,10.184,475.2000000000001,0,10.262855675675679,0.05269351351351352,10.21016216216216,550.8999999999999
9.91784,0.06184000000000001,9.856,484.6,0,10.253776315789477,0.0529342105263158,10.200842105263156,549.1552631578946
10.32686,0.05086,10.276,668.5,0,10.25565025641026,0.05288102564102565,10.20276923076923,552.2153846153843
10.10942,0.06142,10.048,459.1,0,10.251994500000004,0.05309450000000001,10.198899999999998,549.8874999999998
10.29701,0.05701000000000001,10.24,242.3,0,10.253092439024394,0.053190000000000015,10.199902439024392,542.3853658536583
10.13267,0.05667000000000001,10.076,503.8,0,10.250225238095242,0.05327285714285716,10.19695238095238,541.4666666666665
9.95903,0.02703,9.932,607.2,0,10.243453255813957,0.05266255813953489,10.19079069767442,542.9953488372091
10.29111,0.04311,10.248,550.0,0,10.244536363636367,0.05244545454545455,10.19209090909091,543.1545454545453
10.42738,0.051379999999999995,10.376,576.4,0,10.248599555555561,0.05242177777777778,10.196177777777775,543.8933333333332
10.30798,0.043980000000000005,10.264000000000001,258.90000000000003,0,10.249890434782614,0.05223826086956522,10.197652173913042,537.6978260869564
10.141610000000002,0.053610000000000005,10.088,436.5,0,10.247586595744684,0.052267446808510636,10.19531914893617,535.5446808510637
10.23749,0.07349,10.164,449.0,0,10.247376250000004,0.05270958333333334,10.194666666666668,533.7416666666667
10.30749,0.04349,10.264000000000001,612.0,0,10.248603061224491,0.052521428571428566,10.196081632653062,535.338775510204
10.10693,0.054930000000000014,10.052,434.7000000000001,0,10.245769600000003,0.0525696,10.1932,533.3259999999998
