psu_voltage,shunt_voltage,load_voltage,current,label,(MA)psu_voltage,(MA)shunt_voltage,(MA)load_voltage,(MA)current
10.57682,0.060820000000000006,10.516,454.90000000000003,2,10.57682,0.060820000000000006,10.516,454.90000000000003
10.1576,0.049600000000000005,10.108,460.40000000000003,2,10.36721,0.05521000000000001,10.312000000000001,457.65000000000003
10.43852,0.05852,10.38,462.8,2,10.39098,0.05631333333333335,10.334666666666669,459.36666666666673
10.44907,0.053070000000000006,10.396,584.1,2,10.4055025,0.05550250000000001,10.350000000000001,490.55000000000007
10.2107,0.046700000000000005,10.164,490.8,2,10.366542,0.05374200000000001,10.312800000000001,490.6000000000001
10.42721,0.05521,10.372,611.8000000000001,2,10.376653333333335,0.053986666666666676,10.322666666666668,510.8000000000001
10.20782,0.04782,10.16,481.90000000000003,2,10.352534285714286,0.0531057142857143,10.299428571428573,506.6714285714287
10.2343,0.0703,10.164,616.0,2,10.337755000000001,0.05525500000000001,10.2825,520.3375000000001
10.1887,0.04870000000000001,10.14,465.70000000000005,2,10.321193333333333,0.05452666666666668,10.266666666666667,514.2666666666668
10.25017,0.06617,10.184000000000001,279.3,2,10.314091000000001,0.05569100000000001,10.2584,490.7700000000001
10.166269999999999,0.05027,10.116,462.40000000000003,2,10.300652727272727,0.055198181818181834,10.245454545454546,488.19090909090914
10.27334,0.061340000000000006,10.212,214.20000000000002,2,10.298376666666668,0.055710000000000016,10.242666666666667,465.35833333333335
10.1319,0.0519,10.08,453.20000000000005,2,10.28557076923077,0.0554169230769231,10.230153846153847,464.4230769230769
10.19868,0.06668,10.132,519.9,2,10.279364285714285,0.05622142857142859,10.223142857142859,468.38571428571424
10.277320000000001,0.045320000000000006,10.232000000000001,585.4,2,10.279228,0.055494666666666685,10.223733333333335,476.1866666666666
10.01909,0.06309000000000001,9.956,535.6,2,10.262969375,0.055969375000000016,10.207,479.9
10.264990000000001,0.04499,10.22,547.5,2,10.26308823529412,0.055323529411764716,10.207764705882354,483.8764705882353
10.070670000000002,0.06267,10.008000000000001,553.3000000000001,2,10.252398333333336,0.055731666666666686,10.196666666666667,487.7333333333333
10.245680000000002,0.045680000000000005,10.200000000000001,528.2,2,10.252044736842107,0.055202631578947385,10.196842105263158,489.86315789473684
10.15886,0.08686,10.072000000000001,570.9,2,10.247385500000002,0.05678550000000001,10.1906,493.91499999999996
10.22214,0.04614,10.176,502.3,2,10.246183333333335,0.05627857142857144,10.189904761904762,494.31428571428563
10.18833,0.08033000000000001,10.108,599.6,2,10.243553636363638,0.0573718181818182,10.186181818181819,499.09999999999997
10.20728,0.04728,10.16,489.5,2,10.241976521739131,0.056933043478260885,10.18504347826087,498.6826086956521
10.22891,0.07291,10.156,609.0,2,10.241432083333335,0.05759875000000001,10.183833333333334,503.27916666666664
10.18815,0.048150000000000005,10.14,469.8,2,10.239300800000002,0.05722080000000001,10.182080000000001,501.93999999999994
10.2079,0.031900000000000005,10.176,627.9000000000001,2,10.23809307692308,0.05624692307692309,10.181846153846154,506.7846153846153
10.1699,0.04990000000000001,10.120000000000001,464.1,2,10.235567407407409,0.05601185185185186,10.179555555555556,505.20370370370364
10.22722,0.01922,10.208,632.5,2,10.235269285714287,0.05469785714285715,10.18057142857143,509.74999999999994
10.13571,0.051710000000000006,10.084,453.40000000000003,2,10.231836206896554,0.05459482758620691,10.177241379310347,507.80689655172404
10.18256,0.06656000000000001,10.116,518.5,2,10.23019366666667,0.05499366666666668,10.1752,508.16333333333324
10.27335,0.04535,10.228,271.0,2,10.231585806451616,0.0546825806451613,10.176903225806452,500.5129032258064
10.37103,0.06303,10.308,535.8000000000001,2,10.235943437500003,0.054943437500000004,10.181000000000001,501.6156249999999
10.27858,0.054580000000000004,10.224,547.7,2,10.237235454545457,0.05493242424242425,10.18230303030303,503.01212121212114
10.48644,0.06244,10.424,553.8000000000001,2,10.244565000000003,0.055153235294117656,10.189411764705882,504.5058823529411
10.256540000000001,0.05254,10.204,704.3000000000001,2,10.244907142857144,0.055078571428571435,10.189828571428572,510.2142857142856
10.59243,0.05643000000000001,10.536,572.4,2,10.254560555555557,0.055116111111111116,10.199444444444445,511.9416666666666
10.313979999999999,0.049980000000000004,10.264,863.0,2,10.256166486486489,0.054977297297297306,10.20118918918919,521.4297297297296
10.49436,0.05836,10.436,462.8,2,10.262434736842106,0.05506631578947369,10.207368421052632,519.8868421052631
10.19592,0.07992,10.116,586.6,2,10.26072923076923,0.05570358974358975,10.20502564102564,521.5974358974357
10.211269999999999,0.047270000000000006,10.164,488.3,2,10.259492750000001,0.055492750000000014,10.203999999999999,520.7649999999999
10.17025,0.04225,10.128,608.2,2,10.257316097560977,0.055169756097560994,10.202146341463413,522.8975609756096
10.187980000000001,0.04798,10.14,470.0,2,10.255665238095238,0.05499857142857144,10.200666666666665,521.6380952380952
10.00194,0.033940000000000005,9.968,625.1,2,10.249764651162792,0.05450883720930234,10.195255813953487,524.0441860465115
10.173540000000001,0.04954,10.124,687.3000000000001,2,10.248032272727274,0.0543959090909091,10.193636363636363,527.7545454545453
9.71775,0.017750000000000002,9.700000000000001,630.3000000000001,2,10.236248222222223,0.05358155555555556,10.182666666666666,530.0333333333332
10.14306,0.05106,10.092,454.70000000000005,2,10.234222391304348,0.05352673913043479,10.180695652173911,528.3956521739129
9.841190000000001,0.02119,9.82,663.2,2,10.22586,0.05283872340425532,10.173021276595744,531.2638297872339
10.13744,0.04544,10.092,604.1,2,10.224017916666668,0.05268458333333334,10.171333333333331,532.7812499999999
